CMPS 2016 Variables
Dataset shape: 10,144 rows x 1006 columns

  1. RESPID                                   | int64      | unique: 10144 | missing:    0
  2. INTERVIEW_START                          | object     | unique:     3 | missing:    0
  3. INTERVIEW_END                            | object     | unique:     3 | missing:    0
  4. DIFF_DATE                                | int64      | unique:     2 | missing:    0
  5. ZIPCODE                                  | float64    | unique:     0 | missing: 10144
  6. CITY_NAME                                | object     | unique:     1 | missing:    0
  7. COUNTY_NAME                              | object     | unique:   842 | missing:    0
  8. WEIGHT                                   | float64    | unique:  3072 | missing:    0
  9. NAT_WEIGHT                               | float64    | unique:  3072 | missing:    0
 10. S1                                       | object     | unique:     6 | missing:    0
 11. ETHNIC_QUOTA                             | object     | unique:     4 | missing:    0
 12. S2_1                                     | int64      | unique:     2 | missing:    0
 13. S2_2                                     | int64      | unique:     2 | missing:    0
 14. S2_3                                     | int64      | unique:     2 | missing:    0
 15. S2_4                                     | int64      | unique:     2 | missing:    0
 16. S2_5                                     | int64      | unique:     2 | missing:    0
 17. S2_6                                     | int64      | unique:     2 | missing:    0
 18. S2_7                                     | int64      | unique:     2 | missing:    0
 19. S3                                       | object     | unique:     3 | missing:    0
 20. S4                                       | object     | unique:    51 | missing:    0
 21. S5                                       | object     | unique:     2 | missing:    0
 22. S6                                       | int64      | unique:    79 | missing:    0
 23. AGE                                      | float64    | unique:    75 | missing:   11
 24. S7                                       | object     | unique:     3 | missing:    0
 25. S8                                       | object     | unique:    14 | missing: 7138
 26. S8_14_OTHER                              | object     | unique:    51 | missing:    0
 27. S9                                       | object     | unique:    15 | missing: 7042
 28. S9_15_OTHER                              | object     | unique:    94 | missing:    0
 29. S10                                      | object     | unique:    21 | missing: 7142
 30. S10_21_OTHER                             | object     | unique:    49 | missing:    0
 31. C1_1                                     | object     | unique:     3 | missing:    0
 32. C1_2                                     | object     | unique:     3 | missing:    0
 33. C1_3                                     | object     | unique:     3 | missing:    0
 34. C1_4                                     | object     | unique:     3 | missing:    0
 35. C1_5                                     | object     | unique:     3 | missing:    0
 36. C1_6                                     | object     | unique:     3 | missing:    0
 37. C1_7                                     | object     | unique:     3 | missing:    0
 38. C1_8                                     | object     | unique:     3 | missing:    0
 39. C1_9                                     | object     | unique:     3 | missing:    0
 40. C1_10                                    | object     | unique:     3 | missing:    0
 41. C1_11                                    | object     | unique:     3 | missing:    0
 42. C1_12                                    | object     | unique:     3 | missing:    0
 43. C1_13                                    | object     | unique:     3 | missing:    0
 44. C1_14                                    | float64    | unique:     2 | missing:    1
 45. C1_15                                    | float64    | unique:     2 | missing:    1
 46. C2                                       | object     | unique:     5 | missing:    1
 47. C3                                       | object     | unique:     5 | missing:    1
 48. C4                                       | object     | unique:     6 | missing:    0
 49. C5                                       | object     | unique:     6 | missing:    0
 50. C6                                       | object     | unique:     6 | missing:    0
 51. C7                                       | object     | unique:     6 | missing:    0
 52. C8                                       | object     | unique:     6 | missing:    0
 53. C9                                       | object     | unique:     6 | missing:    0
 54. C10                                      | object     | unique:     6 | missing:    0
 55. C11                                      | object     | unique:     5 | missing:    1
 56. C12                                      | object     | unique:     2 | missing: 4121
 57. C13                                      | object     | unique:     4 | missing: 4583
 58. C14                                      | object     | unique:     6 | missing:    0
 59. C15                                      | object     | unique:     4 | missing:    0
 60. BL16_FIRST                               | object     | unique:     5 | missing: 7867
 61. BL16_SECOND                              | object     | unique:     4 | missing: 10055
